자치구,14'발생,14'검거율,15'발생,15'검거율,16'발생,16'검거율,17'발생,17'검거율,18'발생,18'검거율,19'발생,19'검거율,20'발생,20'검거율,21'발생,21'검거율,22'발생,22'검거율
종로구,5021,4610,4705,4430,4459,4298,4057,4437,3690,3913,3846,4117,3102,3343,2712,2755,3138,3284
중구,5231,3188,4954,2942,4584,3068,4184,2851,4030,2679,4327,2804,3411,2323,2861,2072,3071,2119
용산구,3799,2340,3820,2483,4137,2835,4060,2936,3411,2543,3313,2611,2969,2056,2381,1659,2967,2093
성동구,3582,2048,3358,2123,3026,2392,2767,2031,2457,1787,2512,1838,2362,1774,2112,1510,2194,1597
광진구,6268,3531,5909,3707,5322,3312,4646,3289,3915,2789,4011,2816,3601,2511,3087,2202,3619,2498
동대문구,4363,2882,4720,3205,4787,3623,3975,3274,3680,2968,3692,2818,3401,2465,2959,2113,3253,2231
중랑구,5353,3259,5193,3405,5041,3935,4571,3392,4288,3222,4268,3138,3726,2781,3210,2405,3599,2671
성북구,4606,3028,4154,2729,3744,2672,3434,2479,3042,2277,2877,2323,2567,1947,2411,1787,2749,2125
강북구,4030,2806,4257,3113,4229,3323,3393,2824,3437,2743,3838,3023,2770,2259,2301,1912,2832,2343
도봉구,3124,1986,2664,1900,2438,1930,1999,1652,2249,1676,2110,1497,2179,1490,1860,1294,2141,1569
노원구,5312,3300,5130,3268,4543,3021,4209,3047,4007,2725,4153,2964,3743,2581,3425,2302,3896,2641
은평구,5431,3325,4745,3167,4501,3353,3883,3207,3590,2863,3880,3000,3390,2531,3244,2423,3487,2658
서대문구,4194,2588,4029,2579,3665,2554,3113,2299,2802,2016,2943,2020,2533,1706,2278,1594,2374,1605
마포구,5740,3136,5854,3597,5873,3771,5278,3499,5172,3569,4842,3170,3688,2534,3540,2379,4096,2814
양천구,4642,2654,4528,2815,4112,2793,3882,2660,3515,2459,3214,2124,3216,2086,3015,2085,3169,2130
강서구,5289,3225,5585,4190,5450,4097,5135,3927,4629,3469,4924,3543,4415,3393,3896,3044,4663,3591
구로구,5389,2985,5646,3502,5366,3744,4895,3408,4810,3338,4707,3291,4175,2984,3486,2431,3857,2732
금천구,3842,2434,3781,2796,3645,2756,3265,2572,3293,2567,3105,2343,2598,1966,2439,1741,2577,1887
영등포구,7003,4072,6867,4154,6322,4199,5969,4012,5840,3922,5820,3787,5217,3371,4179,2777,4819,3186
동작구,3869,2312,4074,2397,3227,2160,3330,2242,3100,2090,3400,2195,3200,2086,2631,1829,2735,1741
관악구,6781,3701,6345,3712,5678,3925,5525,4154,5026,3653,5328,3810,5261,3858,4444,3134,4879,3411
서초구,5558,3122,5444,3450,4989,3422,4708,3237,4726,3183,5542,3750,4601,3052,3656,2439,4459,3098
강남구,8851,5262,8617,5732,8149,5905,7720,5321,7513,5196,7304,5069,7356,5245,6146,4397,6947,5020
송파구,8004,3982,6778,4113,6090,4060,5576,3870,5807,4051,5698,3799,5410,3544,4714,3266,5167,3409
강동구,5392,3285,5244,3171,4462,3273,4261,3245,3919,2789,4014,2955,3788,2662,3458,2462,3711,2644
