자치구,14'경찰청,14'경찰서,14'지구대파출소치안센터,15'경찰청,15'경찰서,15'지구대파출소치안센터,16'경찰청,16'경찰서,16'지구대파출소치안센터,17'경찰청,17'경찰서,17'지구대파출소치안센터,18'경찰청,18'경찰서,18'지구대파출소치안센터,19'경찰청,19'경찰서,19'지구대파출소치안센터,20'경찰청,20'경찰서,20'지구대파출소치안센터,21'경찰청,21'경찰서,21'지구대파출소치안센터,22'경찰청,22'경찰서,22'지구대파출소치안센터
종로구,1,2,23,1,2,23,1,2,23,1,2,23,1,2,23,1,2,23,1,2,22,1,2,22,1,2,23
중구,0,2,18,0,2,18,0,2,19,0,2,18,0,2,18,0,2,18,0,2,18,0,2,18,0,2,17
용산구,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12
성동구,0,1,15,0,1,15,0,1,15,0,1,15,0,1,15,0,1,15,0,1,15,0,1,15,0,1,15
광진구,0,1,10,0,1,10,0,1,10,0,1,11,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12
동대문구,0,1,22,0,1,22,0,1,21,0,1,21,0,1,20,0,1,20,0,1,20,0,1,20,0,1,20
중랑구,0,1,18,0,1,18,0,1,18,0,1,18,0,1,17,0,1,17,0,1,17,0,1,17,0,1,17
성북구,0,2,24,0,2,24,0,2,24,0,2,24,0,2,24,0,2,24,0,2,24,0,2,24,0,2,24
강북구,0,1,15,0,1,15,0,1,15,0,1,15,0,1,14,0,1,14,0,1,14,0,1,14,0,1,14
도봉구,0,1,10,0,1,10,0,1,10,0,1,10,0,1,9,0,1,9,0,1,9,0,1,9,0,1,9
노원구,0,1,19,0,1,19,0,1,19,0,1,19,0,1,18,0,1,17,0,1,16,0,1,16,0,1,16
은평구,0,2,20,0,2,20,0,2,20,0,2,20,0,2,20,0,2,20,0,2,20,0,2,20,0,2,20
서대문구,1,1,11,1,1,11,1,1,11,1,1,11,1,1,11,1,1,11,1,1,10,1,1,10,1,1,10
마포구,0,1,16,0,1,18,0,1,17,0,1,17,0,1,17,0,1,15,0,1,15,0,1,15,0,1,15
양천구,0,1,18,0,1,18,0,1,17,0,1,17,0,1,15,0,1,16,0,1,15,0,1,15,0,1,15
강서구,0,1,14,0,1,13,0,1,13,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12,0,1,13
구로구,0,1,18,0,1,18,0,1,19,0,1,17,0,1,16,0,1,16,0,1,17,0,1,17,0,1,17
금천구,0,0,11,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12,0,1,12
영등포구,0,1,17,0,1,16,0,1,15,0,1,15,0,1,15,0,1,15,0,1,15,0,1,15,0,1,15
동작구,0,1,16,0,1,16,0,1,16,0,1,17,0,1,17,0,1,17,0,1,17,0,1,17,0,1,17
관악구,0,2,21,0,1,20,0,1,20,0,1,20,0,1,19,0,1,19,0,1,19,0,1,18,0,1,18
서초구,0,2,18,0,2,19,0,2,19,0,2,19,0,2,19,0,2,19,0,2,19,0,2,19,0,2,19
강남구,0,2,23,0,2,23,0,2,24,0,2,24,0,2,23,0,2,21,0,2,21,0,2,21,0,2,21
송파구,0,1,21,0,1,21,0,1,21,0,1,21,0,1,20,0,1,20,0,1,21,0,1,21,0,1,21
강동구,0,1,18,0,1,17,0,1,17,0,1,17,0,1,16,0,1,16,0,1,16,0,1,16,0,1,16
