자치구,14'경찰관,15'경찰관,16'경찰관,17'경찰관,18'경찰관,19'경찰관,20'경찰관,21'경찰관,22'경찰관
종로구,1083,1066,1135,1140,1150,1155,1131,1131,1080
중구,985,957,1019,1029,1040,1040,1017,1021,1019
용산구,655,664,714,711,701,712,703,719,806
성동구,613,627,656,651,651,642,627,641,649
광진구,653,647,679,697,712,724,729,745,751
동대문구,760,758,795,817,823,826,824,837,837
중랑구,715,721,769,748,767,764,756,776,781
성북구,923,908,951,977,979,961,937,930,940
강북구,621,617,670,667,672,671,668,679,691
도봉구,526,529,540,563,578,561,567,567,574
노원구,751,756,798,811,833,809,804,810,824
은평구,862,855,890,917,945,925,907,926,945
서대문구,641,646,678,682,688,674,681,692,679
마포구,749,787,853,858,884,883,891,902,924
양천구,715,723,759,771,787,773,753,754,764
강서구,804,828,881,902,944,941,939,946,963
구로구,712,730,763,749,768,752,737,761,772
금천구,529,535,563,580,583,575,566,585,600
영등포구,867,904,964,971,980,990,1010,1009,1008
동작구,630,637,672,670,678,674,668,672,687
관악구,757,799,849,861,885,918,913,913,945
서초구,991,996,1041,1071,1102,1115,1090,1121,1142
강남구,1340,1365,1431,1451,1482,1532,1529,1569,1608
송파구,964,983,1020,1026,1042,1063,1050,1047,1084
강동구,693,700,723,741,763,766,753,768,787
