자치구,14'인구,14'인구밀도 ,15'인구,15'인구밀도,16'인구,16'인구밀도,17'인구,17'인구밀도,18'인구,18'인구밀도,19'인구,19'인구밀도,20'인구,20'인구밀도,21'인구,21'인구밀도,22'인구,22'인구밀도
종로구,165344,6914,163822,6851,161922,6771,164257,6869,163026,6817,161869,6769,158996,6649,153789,6431,152211,6365
중구,136227,13677,134329,13486,134409,13494,134593,13514,135633,13618,136488,13704,134635,13517,131787,13231,130785,13131
용산구,249914,11428,247909,11337,245102,11209,244444,11179,245090,11209,245185,11213,244645,11188,237285,10852,233284,10668
성동구,303891,18028,305065,18093,307161,18218,312711,18551,316463,18771,308979,18327,300505,17822,292672,17359,288234,17136
광진구,377375,22117,375180,21987,372104,21807,372298,21819,371063,21746,366972,21507,360109,21105,352627,20666,351252,20586
동대문구,376319,26481,373824,26301,370312,26050,366011,25748,364338,25630,363023,25537,357014,25114,352006,24762,353601,24873
중랑구,423411,22892,418620,22633,415677,22474,412780,22318,408147,22067,402024,21736,399562,21603,391885,21188,390140,21092
성북구,475961,19366,469560,19104,461617,18781,455407,18533,447687,18218,454744,18505,447056,18190,440142,17909,441984,17983
강북구,338410,14341,334426,14172,330704,14015,328002,13898,322915,13683,317695,13462,311569,13202,302563,12820,297702,12614
도봉구,355712,17183,353241,17056,350272,16948,346234,16752,341649,16531,335631,16245,327361,15852,319373,15465,313989,15205
노원구,586056,16538,578221,16317,571212,16119,558075,15748,548160,15468,537303,15162,527032,14872,514946,14530,508014,14335
은평구,503243,16943,502578,16920,495937,16696,491202,16534,487666,16415,484546,16308,484043,16292,477173,16061,470602,15838
서대문구,320861,18225,323105,18351,325871,18506,325028,18440,323080,18331,323171,18335,322952,18322,315659,17908,319554,18129
마포구,395830,16607,398351,16706,390887,16394,385783,16174,386359,16199,385925,16180,381858,16011,378686,15878,375585,15745
양천구,490708,28196,489010,28098,481845,27681,475018,27289,468145,26894,462285,26559,457781,26301,450487,25882,444010,25509
강서구,591653,14282,595691,14376,602104,14531,608255,14679,603611,14567,598273,14438,585901,14140,579768,13986,574638,13862
구로구,457131,22721,454604,22596,449600,22347,441559,21946,438486,21793,439371,21837,432488,21496,421163,20933,418418,20794
금천구,258030,19818,256167,19675,254654,19560,253491,19469,254021,19510,251820,19341,247835,19035,244891,18808,242818,18649
영등포구,421436,17181,417811,17033,406779,16583,402024,16377,403600,16441,400986,16334,407367,16595,400908,16331,398085,16215
동작구,419261,25637,412774,25240,413247,25269,408493,24978,409385,25032,408912,25003,401572,24555,394364,24113,390432,23870
관악구,531960,17991,529031,17891,525607,17776,520929,17617,520040,17587,517334,17496,509803,17241,499449,16891,501226,16951
서초구,454288,9665,451258,9601,451477,9610,445401,9480,438163,9326,435107,9261,429025,9132,416167,8858,408451,8696
강남구,583446,14770,581760,14728,572140,14484,561052,14203,547453,13859,550209,13929,544055,13773,537800,13616,534103,13522
송파구,671794,19831,667480,19704,664946,19629,671173,19813,673507,19883,682741,20156,673926,19896,663965,19599,664514,19616
강동구,481332,19577,463321,18842,448471,18238,440359,17909,431920,17564,440390,17909,463998,18869,466472,18970,464037,18871
